0.00000000	0.99999989
0.16666667	0.78588693
0.33333333	0.23523719
0.50000000	-0.41614428
0.66666667	-0.88930584
0.83333333	-0.98158721
1.00000000	-0.65342442
1.16666667	-0.04564829
1.33333333	0.57900807
1.50000000	0.94290046
1.66666667	0.86711739
1.83333333	0.39367186
2.00000000	-0.07275002
2.16666667	-0.15147814
2.33333333	-0.06469772
2.50000000	-0.01509172
2.66666667	-0.00155198
2.83333333	0.00042118
3.00000000	0.00028299
3.16666667	0.00008797
3.33333333	0.00001678
3.50000000	0.00000084
3.66666667	-0.00000082
3.83333333	-0.00000040
4.00000000	-0.00000011
